Shyr,Name,Emotion 1,Emotion 2
عمر  گزرے  گی  امتحان  میں  کیا  داغ  ہی  دیں  گے  مجھ  کو  دان  میں  کیا ,جون ایلیا,,
میری  ہر  بات  بے  اثر  ہی  رہی  نقص  ہے  کچھ  مرے  بیان  میں  کیا ,جون ایلیا,,
مجھ  کو  تو  کوئی  ٹوکتا  بھی  نہیں  یہی  ہوتا  ہے  خاندان  میں  کیا ,جون ایلیا,,
اپنی  محرومیاں  چھپاتے  ہیں  ہم  غریبوں  کی  آن  بان  میں  کیا ,جون ایلیا,,
خود  کو  جانا  جدا  زمانے  سے  آ  گیا  تھا  مرے  گمان  میں  کیا ,جون ایلیا,,
شام  ہی  سے  دکان  دید  ہے  بند  نہیں  نقصان  تک  دکان  میں  کیا ,جون ایلیا,,
اے  مرے  صبح  و  شام  دل  کی  شفق  تو  نہاتی  ہے  اب  بھی  بان  میں  کیا ,جون ایلیا,,
بولتے  کیوں  نہیں  مرے  حق  میں  آبلے  پڑ  گئے  زبان  میں  کیا ,جون ایلیا,,
خامشی  کہہ  رہی  ہے  کان  میں  کیا  آ  رہا  ہے  مرے  گمان  میں  کیا ,جون ایلیا,,
دل  کہ  آتے  ہیں  جس  کو  دھیان  بہت  خود  بھی  آتا  ہے  اپنے  دھیان  میں  کیا ,جون ایلیا,,
وہ  ملے  تو  یہ  پوچھنا  ہے  مجھے  اب  بھی  ہوں  میں  تری  امان  میں  کیا ,جون ایلیا,,
یوں  جو  تکتا  ہے  آسمان  کو  تو  کوئی  رہتا  ہے  آسمان  میں  کیا ,جون ایلیا,,
ہے  نسیم  بہار  گرد  آلود  خاک  اڑتی  ہے  اس  مکان  میں  کیا ,جون ایلیا,,
یہ  مجھے  چین  کیوں  نہیں  پڑتا  ایک  ہی  شخص  تھا  جہان  میں  کیا ,جون ایلیا,,
نیا  اک  رشتہ  پیدا  کیوں  کریں  ہم  بچھڑنا  ہے  تو  جھگڑا  کیوں  کریں  ہم ,جون ایلیا,,
خموشی  سے  ادا  ہو  رسم  دوری  کوئی  ہنگامہ  برپا  کیوں  کریں  ہم ,جون ایلیا,,
یہ  کافی  ہے  کہ  ہم  دشمن  نہیں  ہیں  وفا  داری  کا  دعویٰ  کیوں  کریں  ہم ,جون ایلیا,,
وفا  اخلاص  قربانی  محبت  اب  ان  لفظوں  کا  پیچھا  کیوں  کریں  ہم ,جون ایلیا,,
سنا  دیں  عصمت  مریم  کا  قصہ  پر  اب  اس  باب  کو  وا  کیوں  کریں  ہم ,جون ایلیا,,
زلیخائے  عزیزاں  بات  یہ  ہے  بھلا  گھاٹے  کا  سودا  کیوں  کریں  ہم ,جون ایلیا,,
ہماری  ہی  تمنا  کیوں  کرو  تم  تمہاری  ہی  تمنا  کیوں  کریں  ہم ,جون ایلیا,,
کیا  تھا  عہد  جب  لمحوں  میں  ہم  نے  تو  ساری  عمر  ایفا  کیوں  کریں  ہم ,جون ایلیا,,
اٹھا  کر  کیوں  نہ  پھینکیں  ساری  چیزیں  فقط  کمروں  میں  ٹہلا  کیوں  کریں  ہم ,جون ایلیا,,
جو  اک  نسل  فرومایہ  کو  پہنچے  وہ  سرمایہ  اکٹھا  کیوں  کریں  ہم ,جون ایلیا,,
نہیں  دنیا  کو  جب  پروا  ہماری  تو  پھر  دنیا  کی  پروا  کیوں  کریں  ہم ,جون ایلیا,,
برہنہ  ہیں  سر  بازار  تو  کیا  بھلا  اندھوں  سے  پردہ  کیوں  کریں  ہم ,جون ایلیا,,
ہیں  باشندے  اسی  بستی  کے  ہم  بھی  سو  خود  پر  بھی  بھروسا  کیوں  کریں  ہم ,جون ایلیا,,
چبا  لیں  کیوں  نہ  خود  ہی  اپنا  ڈھانچہ  تمہیں  راتب  مہیا  کیوں  کریں  ہم ,جون ایلیا,,
