Shyr,Name,Emotion 1,Emotion 2
تم  سے  پہلے  وہ  جو  اک  شخص  یہاں  تخت  نشیں  تھا  اس  کو  بھی  اپنے  خدا  ہونے  پہ  اتنا  ہی  یقیں  تھا ,حبیب جالب,,
کوئی  ٹھہرا  ہو  جو  لوگوں  کے  مقابل  تو  بتاؤ  وہ  کہاں  ہیں  کہ  جنہیں  ناز  بہت  اپنے  تئیں  تھا ,حبیب جالب,,
آج  سوئے  ہیں  تہ  خاک  نہ  جانے  یہاں  کتنے  کوئی  شعلہ  کوئی  شبنم  کوئی  مہتاب  جبیں  تھا ,حبیب جالب,,
اب  وہ  پھرتے  ہیں  اسی  شہر  میں  تنہا  لیے  دل  کو  اک  زمانے  میں  مزاج  ان  کا  سر  عرش  بریں  تھا ,حبیب جالب,,
چھوڑنا  گھر  کا  ہمیں  یاد  ہے  جالبؔ  نہیں  بھولے  تھا  وطن  ذہن  میں  اپنے  کوئی  زنداں  تو  نہیں  تھا ,حبیب جالب,,
دل  کی  بات  لبوں  پر  لا  کر  اب  تک  ہم  دکھ  سہتے  ہیں  ہم  نے  سنا  تھا  اس  بستی  میں  دل  والے  بھی  رہتے  ہیں ,حبیب جالب,,
بیت  گیا  ساون  کا  مہینہ  موسم  نے  نظریں  بدلیں  لیکن  ان  پیاسی  آنکھوں  سے  اب  تک  آنسو  بہتے  ہیں ,حبیب جالب,,
ایک  ہمیں  آوارہ  کہنا  کوئی  بڑا  الزام  نہیں  دنیا  والے  دل  والوں  کو  اور  بہت  کچھ  کہتے  ہیں ,حبیب جالب,,
جن  کی  خاطر  شہر  بھی  چھوڑا  جن  کے  لیے  بدنام  ہوئے  آج  وہی  ہم  سے  بیگانے  بیگانے  سے  رہتے  ہیں ,حبیب جالب,,
وہ  جو  ابھی  اس  راہ  گزر  سے  چاک  گریباں  گزرا  تھا  اس  آوارہ  دیوانے  کو  جالبؔ  جالبؔ  کہتے  ہیں ,حبیب جالب,,
شعر  سے  شاعری  سے  ڈرتے  ہیں  کم  نظر  روشنی  سے  ڈرتے  ہیں ,حبیب جالب,,
لوگ  ڈرتے  ہیں  دشمنی  سے  تری  ہم  تری  دوستی  سے  ڈرتے  ہیں ,حبیب جالب,,
دہر  میں  آہ  بے  کساں  کے  سوا  اور  ہم  کب  کسی  سے  ڈرتے  ہیں ,حبیب جالب,,
ہم  کو  غیروں  سے  ڈر  نہیں  لگتا  اپنے  احباب  ہی  سے  ڈرتے  ہیں ,حبیب جالب,,
داور  حشر  بخش  دے  شاید  ہاں  مگر  مولوی  سے  ڈرتے  ہیں ,حبیب جالب,,
روٹھتا  ہے  تو  روٹھ  جائے  جہاں  ان  کی  ہم  بے  رخی  سے  ڈرتے  ہیں ,حبیب جالب,,
ہر  قدم  پر  ہے  محتسب  جالبؔ  اب  تو  ہم  چاندنی  سے  ڈرتے  ہیں ,حبیب جالب,,
دشمنوں  نے  جو  دشمنی  کی  ہے  دوستوں  نے  بھی  کیا  کمی  کی  ہے ,حبیب جالب,,
خامشی  پر  ہیں  لوگ  زیر  عتاب  اور  ہم  نے  تو  بات  بھی  کی  ہے ,حبیب جالب,,
مطمئن  ہے  ضمیر  تو  اپنا  بات  ساری  ضمیر  ہی  کی  ہے ,حبیب جالب,,
اپنی  تو  داستاں  ہے  بس  اتنی  غم  اٹھائے  ہیں  شاعری  کی  ہے ,حبیب جالب,,
اب  نظر  میں  نہیں  ہے  ایک  ہی  پھول  فکر  ہم  کو  کلی  کلی  کی  ہے ,حبیب جالب,,
پا  سکیں  گے  نہ  عمر  بھر  جس  کو  جستجو  آج  بھی  اسی  کی  ہے ,حبیب جالب,,
جب  مہ  و  مہر  بجھ  گئے  جالبؔ  ہم  نے  اشکوں  سے  روشنی  کی  ہے ,حبیب جالب,,
اور  سب  بھول  گئے  حرف  صداقت  لکھنا  رہ  گیا  کام  ہمارا  ہی  بغاوت  لکھنا ,حبیب جالب,,
لاکھ  کہتے  رہیں  ظلمت  کو  نہ  ظلمت  لکھنا  ہم  نے  سیکھا  نہیں  پیارے  بہ  اجازت  لکھنا ,حبیب جالب,,
نہ  صلے  کی  نہ  ستائش  کی  تمنا  ہم  کو  حق  میں  لوگوں  کے  ہماری  تو  ہے  عادت  لکھنا ,حبیب جالب,,
